i,name,theta_E_pub,off_center,defl_re_px,defl_re_as,n_field_comp,arc_coverage,n_knots,arc_radius_px,arc_defl_flux,arc_contrast,flag_off_center,flag_no_arc,flag_two_light,flag_theta_mismatch,flag_tiny_theta
309,102160336_2695945753681853613,0.907,2.2,11.3,0.563,0,0.667,3,16.4,0.1979,13.8,0,0,0,0,0
310,102160337_2700171490680496942,0.679,0.5,9.3,0.464,2,0.708,2,13.9,0.4825,65.6,0,0,0,0,0
311,102160337_2701254133678933511,0.764,1.7,10.9,0.547,1,0.875,2,16.1,0.2036,78.0,0,0,0,0,0
312,102160337_2702871940682411776,1.233,3.1,10.7,0.536,4,0.458,2,21.1,0.0991,17.7,0,0,0,0,0
313,102160337_2703837081680486960,1.061,1.0,10.0,0.5,4,0.625,2,21.9,0.0768,18.9,0,0,0,0,0
314,102160338_2720592793680584236,1.402,3.2,13.4,0.67,1,0.75,6,27.2,0.3114,19.9,0,0,0,0,0
315,102160340_2740784519677600444,0.817,5.1,12.4,0.622,0,0.625,4,15.9,0.4148,21.0,0,0,0,0,0
316,102160607_2684058176685650370,0.771,1.4,14.0,0.698,5,0.75,2,15.2,0.6214,30.3,0,0,0,0,0
317,102160607_2685509147685729039,0.509,2.3,12.1,0.605,3,0.75,3,11.0,0.4978,27.1,0,0,0,0,0
318,102160610_2725640304686403990,1.355,2.1,10.0,0.5,3,0.542,4,27.7,0.0689,26.0,0,0,0,0,0
319,102160610_2729256016684457774,0.484,2.2,9.7,0.484,1,0.625,2,9.4,0.8233,32.9,0,0,0,0,0
320,102160611_2740328687682808789,2.455,3.0,13.8,0.692,0,0.708,3,42.0,0.2941,90.1,0,0,0,0,0
321,102160612_2743600657683668805,0.592,1.9,10.0,0.499,2,0.875,2,12.2,0.2465,49.3,0,0,0,0,0
