stamp_id,keep_nurkyz,keep_final,reason,flags,nurkyz_comment
G4B_00837,1,1,,,
G4B_00838,1,1,,,
G4B_00839,1,1,,,
G4B_00840,1,1,,,
G4B_00841,1,1,,,
G4B_00842,1,1,,,
G4B_00843,1,1,,,
G4B_00844,1,1,,low_snr,small and dim
G4B_00845,1,1,,bcg,
G4B_00846,1,1,,neighbors_mask,3 bright lights in the photo
G4B_00847,1,1,,,
G4B_00848,1,1,,,
G4B_00849,1,1,,low_snr,black background
G4B_00850,0,0,,,
G4B_00851,1,1,,,
G4B_00852,0,0,,,
G4B_00853,1,1,,bcg,
G4B_00855,1,1,,,
G4B_00856,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,"very beutiful and big galaxy with swirling arms, is it ok? + other source of light very bright but small"
G4B_00857,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,"very beutiful and big galaxy with swirling arms, is it ok?"
G4B_00858,0,0,,,
G4B_00859,1,1,,,
G4B_00860,1,1,,,
G4B_00861,1,1,,close_pair_check_isophote_fit|low_snr|bcg,dim and 2 lights in the center
G4B_00862,0,0,,,
G4B_00863,1,0,interacting pair,,2 lights like clashing
G4B_00865,1,1,,,
G4B_00866,1,1,,,
G4B_00867,1,1,,,
G4B_00869,1,1,,,
G4B_00870,1,1,,,
