name,ra_deg,dec_deg,theta_E_pub,q_pub,survey,src_table
G4B_00156,150.12732,2.62245,0.0,0.0,LRGDEFL2B,tierA|vd=347+-69|z=0.517|ACSWFC|2028s|P9822
G4B_00157,149.96413,1.68033,0.0,0.0,LRGDEFL2B,tierA|vd=332+-28|z=0.372|ACSWFC|2028s|P10092
G4B_00158,149.63385,2.11577,0.0,0.0,LRGDEFL2B,tierA|vd=332+-27|z=0.310|ACSWFC|2028s|P10092
G4B_00159,149.88264,2.44834,0.0,0.0,LRGDEFL2B,tierA|vd=331+-37|z=0.359|ACSWFC|2028s|P9822
G4B_00160,150.14337,2.68681,0.0,0.0,LRGDEFL2B,tierA|vd=329+-35|z=0.345|ACSWFC|2028s|P10092
G4B_00161,150.08063,2.39030,0.0,0.0,LRGDEFL2B,tierA|vd=327+-35|z=0.352|ACSWFC|2028s|P9822
G4B_00162,149.53903,1.72237,0.0,0.0,LRGDEFL2B,tierA|vd=293+-38|z=0.502|ACSWFC|2028s|P10092
G4B_00163,150.18692,2.78241,0.0,0.0,LRGDEFL2B,tierA|vd=289+-23|z=0.305|ACSWFC|2028s|P10092
G4B_00164,150.68691,1.67083,0.0,0.0,LRGDEFL2B,tierA|vd=282+-21|z=0.363|ACSWFC|2028s|P10092
G4B_00165,150.58049,2.29266,0.0,0.0,LRGDEFL2B,tierA|vd=280+-28|z=0.439|ACSWFC|2028s|P9822
G4B_00166,150.09074,2.00000,0.0,0.0,LRGDEFL2B,tierA|vd=279+-15|z=0.219|ACSWFC|2028s|P9822
G4B_00167,149.87403,2.83985,0.0,0.0,LRGDEFL2B,tierA|vd=278+-30|z=0.358|ACSWFC|2028s|P10092
G4B_00168,150.72529,2.24172,0.0,0.0,LRGDEFL2B,tierA|vd=277+-32|z=0.467|ACSWFC|2028s|P10092
G4B_00169,150.32485,2.48405,0.0,0.0,LRGDEFL2B,tierA|vd=275+-20|z=0.349|ACSWFC|2028s|P9822
G4B_00170,150.17996,1.76887,0.0,0.0,LRGDEFL2B,tierA|vd=275+-40|z=0.346|ACSWFC|2028s|P10092
G4B_00171,150.09560,2.66141,0.0,0.0,LRGDEFL2B,tierA|vd=272+-26|z=0.347|ACSWFC|2028s|P9822
G4B_00172,150.11784,2.68426,0.0,0.0,LRGDEFL2B,tierA|vd=271+-26|z=0.349|ACSWFC|2028s|P10092
G4B_00173,150.19857,2.06852,0.0,0.0,LRGDEFL2B,tierA|vd=268+-15|z=0.185|ACSWFC|2028s|P9822
G4B_00174,149.60008,2.82118,0.0,0.0,LRGDEFL2B,tierA|vd=266+-26|z=0.345|ACSWFC|2028s|P10092
G4B_00175,149.99849,2.76911,0.0,0.0,LRGDEFL2B,tierA|vd=266+-11|z=0.166|ACSWFC|2028s|P10092
G4B_00176,150.18977,1.65737,0.0,0.0,LRGDEFL2B,tierA|vd=264+-19|z=0.221|ACSWFC|2028s|P10092
G4B_00177,149.65295,1.65853,0.0,0.0,LRGDEFL2B,tierA|vd=262+-23|z=0.467|ACSWFC|2028s|P10092
G4B_00178,150.51980,2.57282,0.0,0.0,LRGDEFL2B,tierA|vd=262+-34|z=0.361|ACSWFC|2028s|P9822
G4B_00179,150.37770,2.41226,0.0,0.0,LRGDEFL2B,tierA|vd=257+-22|z=0.349|ACSWFC|2028s|P9822
G4B_00180,149.79785,1.70203,0.0,0.0,LRGDEFL2B,tierA|vd=256+-27|z=0.350|ACSWFC|2028s|P10092
G4B_00181,150.19829,1.98628,0.0,0.0,LRGDEFL2B,tierA|vd=255+-31|z=0.438|ACSWFC|2028s|P9822
